Good (adj.),Gut
Child (n.),Kind
Thanks! (interj.),Danke
Woman (n.),Frau
No (adv.),Nein
Summer (n.),Sommer
Germany (n.),Deutschland
Dog (n.),Hund
Night (n.),Nacht
Day (n.),Tag
Water (n.),Wasser
Two (n.),Zwei
Car (n.),Auto
Please (adv.),Bitte
Father (n.),Vater
House (n.),Haus
Young (adj.),Jung
Coffee (n.),Kaffee
Milk (n.),Milch
Bread (n.),Brot
To eat (v.),Essen
Small (adj.),Klein
Munich (n.),München
School (n.),Schule
Welcome! (interj.),Willkommen!
Sausage (n.),Wurst
Apple (n.),Apfel
Beer (n.),Bier
Eleven (n.),Elf
To come (v.),Kommen
Country (n.),Land
Love (n.),Liebe
Red (n.),Rot
Beautiful (adj.),Schön
Town; city (n.),Stadt
Money (n.),Geld
Cheese (n.),Käse
Austria (n.),Österreich
Old (adj.),Alt
Blue (n.),Blau
Book (n.),Buch
To have (v.),Haben
Year (n.),Jahr
Cinema (n.),Kino
Kitchen (n.),Küche
To drink (v.),Trinken
Ten (n.),Zehn
Green (n.),Grün
Cold (adj.),Kalt
Sister (n.),Schwester
Daughter (n.),Tochter
Room (n.),Zimmer
Twelve (n.),Zwölf
Evening (n.),Abend
Here (adv.),Hier
July (n.),Juli
Potato (n.),Kartoffel
Girl (n.),Mädchen
Black (n.),Schwarz
Sun (n.),Sonne
To play (v.),Spielen
Under (prep.),Unter
But (conj.),Aber
Attention! (interj.),Achtung!
Thursday (n.),Donnerstag
Fifteen (n.),Fünfzehn
To go (v.),Gehen
To hear (v.),Hören
To cook (v.),Kochen
To make; to do (v.),Machen
Why (adv.),Warum
Twenty (n.),Zwanzig
To work (v.),Arbeiten
Flower (n.),Blume
Question (n.),Frage
Today (adv.),Heute
Cat (n.),Katze
Church (n.),Kirche
Hospital (n.),Krankenhaus
Life (n.),Leben
Wednesday (n.),Mittwoch
Tomorrow (adv.),Morgen
Very (adv.),Sehr
Wonderful (adj.),Wunderbar
To buy (v.),Kaufen
War (n.),Krieg
Husband (n.),Mann
Saturday (n.),Samstag
Fast (adj.),Schnell
To dance (v.),Tanzen
Our (adj.),Unser
Sugar (n.),Zucker
Train (n.),Zug
Tuesday (n.),Dienstag
To learn (v.),Lernen
Uncle (n.),Onkel
To say (v.),Sagen
Week (n.),Woche
Meat (n.),Fleisch
France (n.),Frankreich
To give (v.),Geben
To help (v.),Helfen
Head (n.),Kopf
Teacher (n.),Lehrer
Human (n.),Mensch
Correct (adj.),Richtig
Bye! (interj.),Tschüss!
Watch; clock (n.),Uhr
Together (adv.),Zusammen
Better (adj.),Besser
King (n.),König
To be able to (v.),Können
Art (n.),Kunst
Left (adj.),Links
Number (n.),Nummer
Salt (n.),Salz
To write (v.),Schreiben
To see (v.),Sehen
Later (adv.),Später
Forty (n.),Vierzig
Train station (n.),Bahnhof
Friendly (adj.),Freundlich
To read (v.),Lesen
Air (n.),Luft
Paper (n.),Papier
Cheers! (interj.),Prost!
To sleep (v.),Schlafen
Language (n.),Sprache
Table (n.),Tisch
Bed (n.),Bett
Birthday (n.),Geburtstag
Cellphone (n.),Handy
Always (adv.),Immer
Light (n.),Licht
Only (adj.),Nur
Right [not left] (adj.),Rechts
Rich (adj.),Reich
Pig (n.),Schwein
Lake (n.),See
To be (v.),Sein
Forbidden (adj.),Verboten
Forest (n.),Wald
World (n.),Welt
Word (n.),Wort
Eyes (n.),Augen
Mountain (n.),Berg
Dark (adj.),Dunkel
Parents (n.),Eltern
Happy (adj.),Glücklich
Behind (prep.),Hinter
Emperor (n.),Kaiser
Loud (adj.),Laut
Noon (n.),Mittag
Dead (adj.),Tot
Tree (n.),Baum
To stay (v.),Bleiben
Hair (n.),Haar
Delicious; tasty (adj.),Lecker
Without (prep.),Ohne
Pepper (n.),Pfeffer
To travel (v.),Reisen
Animal (n.),Tier
Weather (n.),Wetter
Really; actually (adv.),Wirklich
To live [in a place] (v.),Wohnen
To think (v.),Denken
Wrong (adj.),Falsch
Window (n.),Fenster
Bottle (n.),Flasche
Hunter (n.),Jäger
Now (adv.),Jetzt
Sea (n.),Meer
Pink (n.),Rosa
Snow (n.),Schnee
Hour (n.),Stunde
Bird (n.),Vogel
To wait (v.),Warten
Child prodigy (n.),Wunderkind
Blood (n.),Blut
Color (n.),Farbe
Breakfast (n.),Frühstück
Yellow (n.),Gelb
Healthy (adj.),Gesund
Half (n.),Halb
Tired (adj.),Müde
Horse (n.),Pferd
Chair (n.),Stuhl
Bag (n.),Tasche
Thousand (n.),Tausend
Dream (n.),Traum
Door (n.),Tür
To know [information] (v.),Wissen
Fear; anxiety (n.),Angst
To visit (v.),Besuchen
Picture (n.),Bild
To need (v.),Brauchen
Thirst (n.),Durst
Yesterday (adv.),Gestern
Funny (adj.),Lustig
More (adj.),Mehr
Fruit (n.),Obst
Rain (n.),Regen
Russia (n.),Russland
Shoe (n.),Schuh
To want (v.),Wollen
Newspaper (n.),Zeitung
To receive (v.),Bekommen
Through (prep.),Durch
Shower (n.),Dusche
To fly (v.),Fliegen
Piano (n.),Klavier
Dress (n.),Kleid
Slow (adj.),Langsam
To run (v.),Laufen
People (n.),Leute
Song (n.),Lied
Fashion (n.),Mode
No one (pron.),Niemand
Round (adj.),Rund
Beach (n.),Strand
To forget (v.),Vergessen
Blind (adj.),Blind
Exactly; precisely (adv.),Genau
To believe (v.),Glauben
Broken (adj.),Kaputt
Map (n.),Karte
Sometimes (adv.),Manchmal
Nose (n.),Nase
Expensive (adj.),Teuer
To understand (v.),Verstehen
Bicycle (n.),Fahrrad
Guest (n.),Gast
Vegetables (n.),Gemüse
Purple (n.),Lila
Again (adv.),Wieder
Alone (adj.),Allein
Answer (n.),Antwort
Library (n.),Bibliothek
[Eye] glasses (n.),Brille
Easy; simple (adj.),Einfach
Ready; finished (adj.),Fertig
Airport (n.),Flughafen
Airplane (n.),Flugzeug
Gift (n.),Geschenk
Heart (n.),Herz
To smoke (v.),Rauchen
Juice (n.),Saft
Strong (adj.),Stark
Away (adv.),Weg
To become (v.),Werden
Tooth (n.),Zahn
Doctor (n.),Arzt
Example (n.),Beispiel
Cheap (adj.),Billig
Cathedral (n.),Dom
Village (n.),Dorf
Equal (adj.),Gleich
Shirt (n.),Hemd
Trousers (n.),Hose
Someone (pron.),Jemand
To paint (v.),Malen
To take (v.),Nehmen
Novel [book] (n.),Roman
Cup (n.),Tasse
Sad (adj.),Traurig
Lemon (n.),Zitrone
Pharmacy (n.),Apotheke
Also (adv.),Auch
Bakery (n.),Bäckerei
Thing (n.),Ding
Finally (adv.),Endlich
Earth (n.),Erde
Fire (n.),Feuer
History (n.),Geschichte
Sky (n.),Himmel
Short (adj.),Kurz
To kiss (v.),Küssen
Lion (n.),Löwe
Difficult; heavy (adj.),Schwer
Soldier (n.),Soldat
To count (v.),Zählen
Third (adj.),Dritte
River (n.),Fluss
Fresh (adj.),Frisch
Spring [i.e the season] (n.),Frühling
Enough (adj.),Genug
To hate (v.),Hassen
Cherry (n.),Kirsche
Possible (adj.),Möglich
Ear (n.),Ohr
Mirror (n.),Spiegel
To carry; to wear (v.),Tragen
To sell (v.),Verkaufen
Because (conj.),Weil
To begin (v.),Anfangen
Autumn (n.),Herbst
To laugh (v.),Lachen
Unfortunately (adv.),Leider
Silver (n.),Silber
Once (adv.),Einmal
Bright [as light] (adj.),Hell
Honey (n.),Honig
Island (n.),Insel
Sure; certain (adj.),Sicher
Maybe (adv.),Vielleicht
Important (adj.),Wichtig
Future (n.),Zukunft
Between (prep.),Zwischen
Leg (n.),Bein
Bridge (n.),Brücke
Citizen (n.),Bürger
To follow (v.),Folgen
Freedom (n.),Freiheit
Cow (n.),Kuh
Boring (adj.),Langweilig
Neighbor (n.),Nachbar
Nice (adj.),Nett
To die (v.),Sterben
Everywhere (n.),Überall
Viennese (adj.),Wiener
To build (v.),Bauen
Letter [mail] (n.),Brief
Suitcase (n.),Koffer
Body (n.),Körper
Calm; quiet (adj.),Ruhig
Monkey (n.),Affe
Strawberry (n.),Erdbeere
Carrot (n.),Karotte
Direction (n.),Richtung
Clean (adj.),Sauber
Poor (adj.),Arm
Corner (n.),Ecke
To celebrate (v.),Feiern
To marry (v.),Heiraten
Clever (adj.),Klug
Next to; beside (prep.),Neben
Ship (n.),Schiff
To taste (v.),Schmecken
Straight ahead (adj.),Geradeaus
Face (n.),Gesicht
To tell a lie (v.),Lügen
Key (n.),Schlüssel
Far (adv.),Weit
Onion (n.),Zwiebel
Occupation [job] (n.),Beruf
Holidays (n.),Ferien
Glove (n.),Handschuh
Hungry (adj.),Hungrig
Spoon (n.),Löffel
Still; yet (adv.),Noch
To try (v.),Probieren
To translate (v.),Übersetzen
Volcano (n.),Vulkan
Solution (n.),Lösung
Coat (n.),Mantel
Moon (n.),Mond
Plant (n.),Pflanze
Chess (n.),Schach
Sheep (n.),Schaf
Star (n.),Stern
To share (v.),Teilen
To practice (v.),Üben
Cloud (n.),Wolke
Soon (adv.),Bald
Somewhere (adv.),Irgendwo
Fridge (n.),Kühlschrank
Knife (n.),Messer
Suddenly (adv.),Plötzlich
To cry (v.),Weinen
Joke (n.),Witz
Dangerous (adj.),Gefährlich
Wedding (n.),Hochzeit
Rabbit (n.),Kaninchen
Pain (n.),Schmerz
Immediately (adv.),Sofort
Bacon (n.),Speck
To burn (v.),Brennen
Thin (adj.),Dünn
Lonely (adj.),Einsam
Glad (adj.),Froh
Pretty; cute (adj.),Hübsch
Cross (n.),Kreuz
Victory (n.),Sieg
Carpet (n.),Teppich
Christmas (n.),Weihnachten
Shark (n.),Hai
Wood (n.),Holz
Empty (adj.),Leer
Scarf (n.),Schal
Staircase (n.),Treppe
Weapon (n.),Waffe
To choose (v.),Wählen
Especially (adv.),Besonders
Bean (n.),Bohne
Strength (n.),Kraft
Mist; fog (n.),Nebel
To collect (v.),Sammeln
Deep; low (adj.),Tief
To throw (v.),Werfen
To pull (v.),Ziehen
To breathe (v.),Atmen
Leaf (n.),Blatt
Lazy (adj.),Faul
Mistake (n.),Fehler
Joy (n.),Freude
Cozy; comfortable (adj.),Gemütlich
Neck (n.),Hals
Shop (n.),Laden
Snake (n.),Schlange
To cut (v.),Schneiden
Plate (n.),Teller
Dry (adj.),Trocken
Quite; rather (adv.),Ziemlich
Pencil (n.),Bleistift
Roof (n.),Dach
Honest (adj.),Ehrlich
To tell; to narrate (v.),Erzählen
Courage (n.),Mut
Wet (adj.),Nass
To guess (v.),Raten
Voice (n.),Stimme
Devil (n.),Teufel
To grow (v.),Wachsen
Successful (adj.),Erfolgreich
Foreign (adj.),Fremd
Fork (n.),Gabel
Secret (n.),Geheimnis
Square (n.),Quadrat
To smell (v.),Riechen
Cream (n.),Sahne
Despite; in spite of (prep.),Trotz
Crazy (adj.),Verrückt
Duck (n.),Ente
To decide (v.),Entscheiden
To keep (n.),Halten
Pillow; cushion (n.),Kissen
Circle (n.),Kreis
Embarrassing (adj.),Peinlich
Doll (n.),Puppe
Proud (adj.),Stolz
Valley (n.),Tal
Probably (adv.),Wahrscheinlich
Similar (adj.),Ähnlich
Famous (adj.),Berühmt
Peace (n.),Friede
Flour (n.),Mehl
Weak (adj.),Schwach
To climb (v.),Steigen
To earn (v.),Verdienen
Tongue (n.),Zunge
Pear (n.),Birne
Serious (adj.),Ernst
Opposite; across from (prep.),Gegenüber
Violin (n.),Geige
To rescue; to save (v.),Retten
Soap (n.),Seife
Truth (n.),Wahrheit
To weigh (v.),Wiegen
Rooster (n.),Hahn
Cabbage (n.),Kohl
Hole (n.),Loch
Guilty (adj.),Schuldig
Polite (adj.),Höflich
To hit (v.),Schlagen
To disappear (v.),Verschwinden
To change (v.),Wechseln
Triangle (n.),Dreieck
Poem (n.),Gedicht
Brain (n.),Gehirn
Law (n.),Gesetz
Pipe (n.),Pfeife
To pray (v.),Beten
Thumb (n.),Daumen
To hurry (v.),Eilen
To knock (v.),Klopfen
Penny (n.),Pfennig
Soft (adj.),Weich
Wave (n.),Welle
Curious (adj.),Neugierig
Scissors (n.),Schere
Cupboard (n.),Schrank
Hill (n.),Hügel
Full; not hungry (adj.),Satt
Curtain (n.),Vorhang
Genuine (adj.),Echt
Vinegar (n.),Essig
Eternal (adj.),Ewig
Violence (n.),Gewalt
Smooth (adj.),Glatt
Candle (n.),Kerze
Deaf (adj.),Taub
To own (v.),Besitzen
Jealous (adj.),Eifersüchtig
Ladder (n.),Leiter
Pea (n.),Erbse
Harp (n.),Harfe
Argument (n.),Streit
Anger (n.),Zorn
Moustache (n.),Schnurrbart
Lively (adj.),Lebhaft
